Job Title,Experience (Years),Location,Skills,Salary
Data Scientist,2,Bangalore,Python;SQL;Machine Learning,850000
Machine Learning Engineer,3,Mumbai,Python;TensorFlow;Deep Learning,950000
Data Analyst,1,Delhi,Excel;SQL;Power BI,600000
AI Researcher,5,Hyderabad,Python;NLP;PyTorch,1200000
Business Analyst,2,Pune,Excel;SQL;Tableau,750000
Data Engineer,4,Bangalore,Python;Spark;AWS,1100000
Statistician,3,Chennai,R;Statistics;Data Visualization,800000
Data Scientist,6,Gurgaon,Python;SQL;Deep Learning,1500000
ML Ops Engineer,3,Bangalore,Docker;Kubernetes;TensorFlow,1000000
Data Analyst,2,Kolkata,SQL;Tableau;Python,700000
Research Scientist,7,Hyderabad,PyTorch;NLP;Reinforcement Learning,1700000
BI Developer,3,Delhi,Power BI;SQL;Excel,850000
Data Engineer,5,Mumbai,Hadoop;Spark;Kafka,1350000
Data Scientist,1,Noida,Python;Pandas;Scikit-Learn,720000
AI Developer,4,Chennai,TensorFlow;NLP;Python,1200000
Data Architect,10,Bangalore,Data Modeling;SQL;Cloud,2000000
Junior Data Analyst,0,Ahmedabad,Excel;SQL,480000
Business Intelligence Analyst,5,Kolkata,Power BI;DAX;SQL,1000000
Data Engineer,2,Pune,Python;Airflow;BigQuery,950000
Statistician,6,Mumbai,Statistics;R;Data Wrangling,1150000
